name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
FENDI VINTAGE ZUCCA CROISSANT BAG,CLASSIC,https://zerocollective.ca/bag/fendi-vintage-zucca-croissant-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1758260425608x619864283735717800/Fendi%20Vintage%20Zucca%20Croissant%20Bag%20BERFE258-1072-0%201.jpg","SMALL (9.5"" x 4.5"" x 2"")","6""","CARDHOLDER, PHONE, AND KEYS",Brown Zucca canvas with black leather trim,Coated canvas and leather,"Distinctive croissant-shaped silhouette, single top handle, flap closure, FF logo hardware","Curved and compact, this Croissant Bag has a playful yet refined presence with its sculpted silhouette and classic Fendi tones. The coated Zucca canvas is trimmed in black leather and finished with signature FF hardware, creating a bold Y2K-influenced mix of form and logo. Its shape echoes Fendi’s early-2000s era, when the brand leaned into sculptural, under-the-arm silhouettes and expressive motifs. This piece speaks to women who appreciate nostalgic design with a modern, effortless edge. Style it with oversized knits or sleek basics to balance its curved form."
CHANEL DEAUVILLE SMALL SHOPPING TOTE,DELUXE,https://zerocollective.ca/bag/chanel-deauville-small-shopping-tote-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762363499400x364654991725463800/Chanel%20Deauville%20Small%20Shopping%20Tote%20BOTCH259-1205-0%201.jpg","LARGE (13.5"" x 10"" x 6"")","12""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",Grey with silver-tone hardware,Canvas with leather trim,"Textured canvas body, contrast trim, woven chain handles, bold CHANEL logo, roomy tote silhouette","The cool grey tone and relaxed structured shape give the Deauville Small Shopping Tote an effortless, beach-to-city presence. Textured canvas, contrast trim, and woven chain handles highlight Chanel’s blend of casual ease and iconic detailing. The Deauville line is loved for its lightweight construction and bold logo placement, offering a modern take on travel-ready luxury. A versatile choice for women who appreciate functional pieces with unmistakable house identity. Style it with relaxed denim or monochrome layers for an easy, polished look."
CHANEL VINTAGE LAMBSKIN QUILTED DIANA FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-diana-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1767035542828x972781826174194000/Chanel%20Vintage%20Lambskin%20Quilted%20Diana%20Flap%20Bag%20BSBCH258-2375-0%201%20%281%29.jpg","SMALL (9.5"" x 6.5"" x 2.5"")","20""","WALLET, PHONE, SUNGLASSES, AND KEYS",Beige and black with gold-tone hardware,Lambskin leather,"Contrasting trim, rounded flap silhouette, leather-woven chain strap, CC turn-lock",
CHANEL PATENT QUILTED MINI FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-patent-quilted-mini-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1772121531685x875642830287027200/Chanel%20Patent%20Quilted%20Mini%20Flap%20Bag%20BERCH261-1711-0%201.jpg","X-SMALL (7"" x 5.5"" x 2"")","22.5""","CARDHOLDER, PHONE, AND KEYS",,,,
CELINE SHINY CALFSKIN CLASSIQUE MEDIUM TRIOMPHE BAG,DELUXE,https://zerocollective.ca/bag/celine-shiny-calfskin-classique-medium-triomphe-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608955850x935901141406309900/Celine%20Shiny%20Calfskin%20Classique%20Medium%20Triomphe%20Bag%20BSBCE258-1763-0%201.jpg","MEDIUM (9"" x 6"" x 2"")","18"" - 20""","WALLET, PHONE, AND KEYS",Camel brown with gold-tone hardware,Shiny calfskin leather,Front flap with Triomphe clasp; adjustable leather strap; interior compartments with zip and slip pockets,"The warm camel tone and sleek shape give the Classique Triomphe a polished, minimalist presence. Smooth shiny calfskin and refined gold hardware define the clean lines, with interior compartments adding thoughtful structure. The Triomphe clasp references the chain-link motif found on the gates surrounding the Arc de Triomphe, cementing its place as a core symbol of Celine’s heritage. This bag suits women who gravitate toward modernist silhouettes and discreet luxury. Wear it with tonal tailoring or a simple knit for quiet sophistication."
CHANEL VINTAGE LAMBSKIN QUILTED PARIS DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-paris-double-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1770695694642x374132871891451400/Chanel%20Vintage%20Lambskin%20Quilted%20Paris%20Double%20Flap%20Bag%20BBACH2512-2236-0%201.jpg","MEDIUM (10"" x 6"" x 2.5"")","9.5"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
PRADA MEDIUM ENAMEL TRIANGLE TOTE BAG,CLASSIC,https://zerocollective.ca/bag/prada-medium-enamel-triangle-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1770695955604x314762958677044860/Prada%20Medium%20Enamel%20Triangle%20Tote%20Bag%20BSBPR261-1501-0%201.jpg","MEDIUM (12.5"" x 8"" x 3"")","7""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
CHANEL LAMBSKIN QUILTED SMALL TRENDY TOP HANDLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-small-trendy-top-handle-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1756132742764x255123692874511970/Chanel%20Lambskin%20Quilted%20Small%20Trendy%20Top%20Handle%20Flap%20Bag%20BBACH255-3595-0%20%5B1%5D.jpg","SMALL (10"" x 6.5"" x 3.5"")","4"" - 19""","WALLET, PHONE, SUNGLASSES, AND KEYS","Soft and feminine, the Small Trendy Top Handle in mint brings a calming pastel mood to a structured silhouette. Lambskin quilting meets the signature “CHANEL” bar, creating a refined balance between modern detailing and timeless house codes. The Trendy line reflects Chanel’s evolution toward elegant, handle-forward shapes that blend practicality with couture polish. A lovely choice for women who appreciate graceful colour and sophisticated form. Style it with tonal knits or cream tailoring for gentle refinement.",Lambskin leather,"Small top-handle flap, signature plaque, quilted body, chain/leather strap, CC turn-lock",
DIOR GRAINED CALFSKIN SADDLE BAG,DELUXE,https://zerocollective.ca/bag/dior-grained-calfskin-saddle-bag-2,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1747846524310x561281386463226700/Dior%20Grained%20Calfskin%20Saddle%20Bag%20BOTDI254-1667-0%20%5B1%5D.jpg","SMALL (9.5"" x 8"" x 2.5"")","7""","CARDHOLDER, PHONE, AND KEYS",White with gold hardware,Grained calfskin,"Asymmetric Saddle flap, “D” charm, short top handle",
CHANEL VINTAGE LAMBSKIN QUILTED CLASSIC DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-classic-double-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760566461456x182647807921185950/Chanel%20Vintage%20Lambskin%20Quilted%20Classic%20Double%20Flap%20Bag%20BOTCH259-3010-0%201.jpg","MEDIUM (10"" x 6.5"" x 2.5"")","9"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",Red with gold-tone hardware,Lambskin leather,"Classic double-flap construction, leather-woven chain strap, CC turn-lock closure, back slip pocket","Vivid red lambskin and clean proportions give this Classic Double Flap a striking, timeless presence. Quilted construction, the dual-flap interior, and the leather-woven chain strap showcase Chanel’s most iconic craftsmanship. Introduced by Karl Lagerfeld in 1983, the Classic Flap reinterprets Coco Chanel’s original 2.55 with the now-iconic CC turn-lock. A favourite for collectors and women who value enduring elegance with heritage depth. Wear it with monochrome looks or refined tailoring for confident sophistication."
PRADA BONNIE EXTRA-LARGE HANDBAG,DELUXE,https://zerocollective.ca/bag/prada-bonnie-extra-large-handbag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1770695981342x267286768208746980/Prada%20XL%20Bonnie%20BSBPR261-2231-0%201.jpg","LARGE (16"" x 12"" x 5"")","8.5"" - 24""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",,,,
DIOR CANNAGE MY DIOR MINI BAG,CLASSIC,https://zerocollective.ca/bag/dior-cannage-my-dior-mini-bag-2,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760566840944x466058664238875970/Dior%20Cannage%20My%20Dior%20Mini%20Bag%20BSBDI259-1871-0%201.jpg","X-SMALL (8.5"" x 4.5"" x 2"")","20""","CARDHOLDER, PHONE, AND KEYS",Black with gold-tone hardware,Embossed calfskin leather,"Bucket silhouette, embossed “CD” logo, top handle and adjustable chain strap, open top with snap tab","The black embossed calfskin and curved bucket silhouette give the C’est Dior Mini a bold yet relaxed presence. Oversized CD embossing, an open top with snap tab, and a convertible chain strap highlight its modern practicality. The C’est Dior line reflects the house’s evolution toward sculptural everyday shapes rooted in couture codes. A confident choice for women who enjoy structured silhouettes with expressive branding. Style it with minimalist dressing to let the texture and shape stand out."
DIOR GRAINED CALFSKIN MINI SADDLE BAG,DELUXE,https://zerocollective.ca/bag/dior-grained-calfskin-mini-saddle-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1772121916260x608494186013679000/Dior%20Grained%20Calfskin%20Mini%20Saddle%20Bag%20BERDI261-2225-0%201.jpg","X-SMALL (7"" x 6"" x 2"")","5""",CARDHOLDER AND KEYS,,,,
CHANEL LAMBSKIN QUILTED TOP HANDLE WALLET ON CHAIN,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-top-handle-wallet-on-chain,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1746029351539x494374114317019100/Chanel%20Mustard%20Quilted%20Coco%20Top%20Handle%20Bag%20%5B1%5D.jpg","X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS","Bright and spirited, this mustard-yellow top-handle WOC brings a playful twist to Chanel’s classic silhouette. Soft lambskin quilting meets a petite top handle and a leather-woven chain strap for versatile wear. Chanel’s Wallet on Chain lineage reflects the house’s love of compact luxury and refined multi-carry function. A charming choice for women who appreciate bold colour in a timeless format. Style it with light neutrals or denim for an elevated pop.",Lambskin leather,"Quilted wallet-on-chain, top handle, leather-woven chain strap, CC snap closure",
CHANEL LAMBSKIN QUILTED MINI FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-mini-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1756132823012x987387234756447200/Chanel%20Lambskin%20Quilted%20Mini%20Flap%20Bag%20BBACH255-3400-0%20%5B1%5D.jpg","X-SMALL (7.5"" x 4"" x 2.5"")","22.5""","CARDHOLDER, PHONE, AND KEYS","Fresh and playful, this mint-green Mini Flap captures the sweetness of Chanel’s classic silhouette in a luminous pastel. Soft lambskin quilting and silver hardware keep the look crisp and modern. The Mini Flap continues the legacy of Chanel’s iconic handbag lines, cherished for its compact proportions and timeless appeal. A perfect pick for women who love joyful colour with refined touches. Style it crossbody for daily wear or on the shoulder for dressed-up charm.",Lambskin leather,"Mini classic flap, soft quilting, leather-woven chain strap, CC turn-lock, small size",
FENDI CROCHET BAGUETTE BAG,DELUXE,https://zerocollective.ca/bag/fendi-crochet-baguette-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1765995226964x879241498277881100/Fendi%20Crochet%20Baguette%20Bag%20BERFE2510-1165-0%201.jpg","MEDIUM (11"" x 7"" x 2"")","6""","WALLET, PHONE, AND KEYS",,,,
YSL LE 5 A 7 SMALL SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/ysl-le-5-a-7-small-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764779628380x994021747440786800/YSL%20Le%205%20a%207%20Small%20Shoulder%20Bag%20BSBSL2511-1758-0%201.jpg","SMALL (8.5"" x 8.5"" x 3.5"")","9""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
CHANEL CAVIAR QUILTED EAST WEST FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-east-west-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757810212790x158657615793833540/Chanel%20Caviar%20Quilted%20East%20West%20Flap%20Bag%20BERCH258-2292-0%201.jpg","SMALL (10"" x 5"" x 2"")","11.5""","WALLET, PHONE, AND KEYS",Red with silver-tone hardware,Caviar grained calfskin,"Elongated east-west flap silhouette with CC turn-lock, leather-woven chain strap best as a shoulder carry, back slip pocket, interior slip pocket",
LOEWE ANAGRAM SMALL CUTOUT TOTE,CLASSIC,https://zerocollective.ca/bag/loewe-anagram-small-cutout-tote,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1756942034386x642144824046248400/Loewe%20Anagram%20Small%20Cutout%20Tote%20BSBLO257-830-0%201%20%281%29.jpg","LARGE (13"" x 10"" x 4"")","11""","PHONE, WALLET, SUNGLASSES, BOOK, AND KEYS",Natural canvas with brown leather overlay,Canvas and calfskin leather,"Open-top tote, cutout anagram motif, inner drawstring pouch, double handles, structured sides",
CHANEL LAMBSKIN QUILTED MAXI CLASSIC SINGLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-maxi-classic-single-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762363702124x976040312038864400/Chanel%20Lambskin%20Quilted%20Maxi%20Classic%20Single%20Flap%20Bag%20BERCH259-2844-0%201.jpg","LARGE (13"" x 9"" x 3.5"")","11.5"" - 19.5""","BOOK, PHONE, WALLET, SUNGLASSES, AND KEYS",Deep chocolate brown with silver-tone hardware,Lambskin leather,"Diamond quilting, maxi flap silhouette, CC turn-lock closure, chain-and-leather strap, interior compartments","The deep chocolate brown tone and oversized proportions give this Maxi Classic Single Flap a rich, commanding presence. Supple lambskin, diamond quilting, and the silver CC turn-lock highlight Chanel’s timeless craftsmanship and iconic structure. The Maxi silhouette amplifies the house’s signature design language, offering generous scale while maintaining elegant proportions. A beautiful choice for women who appreciate heritage shapes with bold refinement. Style it with tonal layers or polished neutrals for an elevated, sophisticated look."
FENDI VINTAGE CORDUROY BAGUETTE BAG,CLASSIC,https://zerocollective.ca/bag/fendi-vintage-corduroy-baguette-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757809670762x882384632107845600/Fendi%20Vintage%20Corduroy%20Baguette%20Bag%20BERFE258-639-0%201.jpg","SMALL (10"" x 6"" x 1.5"")","7""","WALLET, PHONE, AND KEYS",Tan corduroy with silver hardware,Corduroy and leather,"Classic baguette silhouette, flap closure, single handle, FF logo plaque","Tan corduroy and clean lines give this vintage Baguette a warm, textured presence that feels effortless and unique. The classic flap design is paired with a single handle, FF plaque, and soft, ridged corduroy that adds depth and dimension. The Baguette debuted in 1997 under Silvia Venturini Fendi and quickly became a cultural icon associated with 90s fashion and expressive personal style. It’s perfect for someone who appreciates relaxed materials and collectible vintage character. Let the corduroy texture shine by pairing it with simple, neutral layers."
DIOR CALFSKIN 30 MONTAIGNE EAST WEST BAG,DELUXE,https://zerocollective.ca/bag/dior-calfskin-30-montaigne-east-west-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1756132709718x823543395607583700/Dior%20Calfskin%20Montaigne%2030%20East%20West%20Bag%20BBADI255-2260-0%20%5B1%5D.jpg","SMALL (8"" x 4.5"" x 2"")","19.5""","CARDHOLDER, PHONE, AND KEYS",Cream white with gold hardware,Calfskin leather,"Rectangular “East West” flap, CD logo clasp, adjustable shoulder strap, minimalist style","Clean and modern, the 30 Montaigne East-West bag offers an elongated profile with a structured flap and sculptural CD clasp. Smooth calfskin and a slim strap emphasize minimalist lines. The name “30 Montaigne” references Dior’s historic Paris headquarters, long associated with elegance and refined savoir-faire. A beautiful choice for collectors who love pieces with architectural clarity and heritage depth. Wear it with refined neutrals or sharp tailoring for quietly confident style."
CHANEL VINTAGE LAMBSKIN QUILTED MINI 31 SHOPPING TOTE,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-mini-31-shopping-tote,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1767035620671x178991651419140960/Chanel%20Vintage%20Lambskin%20Quilted%20Mini%2031%20Shopping%20Tote%20BBACH2511-2404-0%201.jpg","SMALL (7.5"" x 7"" x 2"")","20""","CARDHOLDER, PHONE, AND KEYS",,,,
BOTTEGA VENETA INTRECCIATO DUSTBAG NOTTE,CLASSIC,https://zerocollective.ca/bag/bottega-veneta-intrecciato-dustbag-notte-,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755805837019x691269921639905200/Bottega%20Veneta%20Intrecciato%20Dustbag%20Notte%20%20BSBBV257-1449-0%201%20%281%29.jpg","MEDIUM (13"" x 7.5"" x 3"")","14"" - 16.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",Ivory white with gold-tone chain,Nappa leather,Intrecciato woven leather exterior; gathered frame with drawstring opening; short handle and detachable chain strap for shoulder wear,"Plush and sculptural, the Intrecciato Dustbag Notte reimagines Bottega Veneta’s iconic weave with a soft, gathered frame and cloud-like construction. The nappa leather body drapes gently, accented by a gleaming gold chain that catches the light. Bottega’s Intrecciato technique is a cornerstone of the house’s heritage, celebrated for artisanal precision and fluid geometry. A dreamy choice for women who love tactile luxury with contemporary femininity. Style it handheld or with the chain strap for effortless elegance."
